시점,항목,과목,금액
2018,초등학교,전체,85531
2019,초등학교,전체,95597
2020,초등학교,전체,76107
2021,초등학교,전체,105279
2022,초등학교,전체,119055
2018,중학교,전체,49972
2019,중학교,전체,52554
2020,중학교,전체,53943
2021,중학교,전체,63480
2022,중학교,전체,70832
2018,고등학교,전체,59348
2019,고등학교,전체,61819
2020,고등학교,전체,63482
2021,고등학교,전체,65399
2022,고등학교,전체,69651
2018,일반고,전체,57181
2019,일반고,전체,59384
2020,일반고,전체,60735
2021,일반고,전체,62637
2022,일반고,전체,66886
2018,초등학교,국어,4808
2019,초등학교,국어,5098
2020,초등학교,국어,5173
2021,초등학교,국어,6394
2022,초등학교,국어,7082
2018,중학교,국어,2559
2019,중학교,국어,2615
2020,중학교,국어,3018
2021,중학교,국어,4057
2022,중학교,국어,4682
2018,고등학교,국어,6488
2019,고등학교,국어,7300
2020,고등학교,국어,7823
2021,고등학교,국어,8820
2022,고등학교,국어,9813
2018,일반고,국어,6407
2019,일반고,국어,7182
2020,일반고,국어,7631
2021,일반고,국어,8677
2022,일반고,국어,9636
2018,초등학교,영어,22894
2019,초등학교,영어,25797
2020,초등학교,영어,22951
2021,초등학교,영어,30837
2022,초등학교,영어,34525
2018,중학교,영어,17856
2019,중학교,영어,18859
2020,중학교,영어,19413
2021,중학교,영어,22550
2022,중학교,영어,24689
2018,고등학교,영어,15979
2019,고등학교,영어,16725
2020,고등학교,영어,17544
2021,고등학교,영어,18010
2022,고등학교,영어,18729
2018,일반고,영어,15596
2019,일반고,영어,16239
2020,일반고,영어,17013
2021,일반고,영어,17431
2022,일반고,영어,18184
2018,초등학교,수학,14504
2019,초등학교,수학,16591
2020,초등학교,수학,15805
2021,초등학교,수학,19962
2022,초등학교,수학,22585
2018,중학교,수학,19214
2019,중학교,수학,20112
2020,중학교,수학,20927
2021,중학교,수학,24076
2022,중학교,수학,26357
2018,고등학교,수학,21762
2019,고등학교,수학,22211
2020,고등학교,수학,23228
2021,고등학교,수학,23318
2022,고등학교,수학,24304
2018,일반고,수학,21379
2019,일반고,수학,21766
2020,일반고,수학,22693
2021,일반고,수학,22724
2022,일반고,수학,23750
